timestamp,config,hvps_mask,heat_mask,result
2026-07-24T11:47:36,10,NNNN,NNNN,n
2026-07-24T11:47:57,11,YNNN,NNNN,n
2026-07-24T11:48:02,12,NYNN,NNNN,n
2026-07-24T11:48:06,13,YYNN,NNNN,n
2026-07-24T11:48:19,14,NNYN,NNNN,o: HV stay off
2026-07-24T11:48:26,15,YNYN,NNNN,o: HV stay
2026-07-24T11:48:49,16,NYYN,NNNN,o: HV stay off
2026-07-24T11:48:54,17,YYYN,NNNN,o: HV stay off
2026-07-24T11:49:00,18,NNNY,NNNN,n
2026-07-24T11:49:05,19,YNNY,NNNN,n
2026-07-24T11:49:10,20,NYNY,NNNN,n
2026-07-24T11:49:15,21,YYNY,NNNN,n
2026-07-24T11:49:23,22,NNYY,NNNN,o: HV stay off
2026-07-24T11:49:28,23,YNYY,NNNN,o: HV stay off
2026-07-24T11:49:53,24,NYYY,NNNN,o: HV stay off
2026-07-24T11:49:58,25,YYYY,NNNN,o: HV stay off
2026-07-24T11:50:10,26,NNNN,YNNN,n
2026-07-24T11:50:17,27,YNNN,YNNN,n
2026-07-24T11:50:24,28,NYNN,YNNN,n
2026-07-24T11:50:29,29,YYNN,YNNN,n
2026-07-24T11:50:38,30,NNYN,YNNN,o: HV stay off
2026-07-24T11:50:45,31,YNYN,YNNN,o: HV stay off
2026-07-24T11:50:49,32,NYYN,YNNN,o: HV stay off
2026-07-24T11:50:54,33,YYYN,YNNN,o: HV stay off
2026-07-24T11:51:03,34,NNNY,YNNN,n
2026-07-24T11:51:09,35,YNNY,YNNN,n
2026-07-24T11:52:13,36,NYNY,YNNN,n
2026-07-24T11:52:20,37,YYNY,YNNN,n
2026-07-24T11:52:26,38,NNYY,YNNN,o: HV stay off
2026-07-24T11:52:30,39,YNYY,YNNN,o: HV stay off
2026-07-24T11:52:34,40,NYYY,YNNN,o: HV stay off
2026-07-24T11:52:41,41,YYYY,YNNN,o: HV stay off
2026-07-24T11:52:47,42,NNNN,NYNN,n
2026-07-24T11:52:54,43,YNNN,NYNN,n
2026-07-24T11:53:00,44,NYNN,NYNN,n
